gamma,alpha,mean_excess,ci95_low_excess,ci95_high_excess,n_reps,n_rounds
1.0,0.36,0.1432531309009791,0.13959468256358848,0.14691157923836973,100,2000
1.0,0.37,0.15641928192956053,0.1514654519287609,0.16137311193036016,100,2000
1.0,0.38,0.16414044204070558,0.16013861719467054,0.1681422668867406,100,2000
1.0,0.39,0.1829171993206632,0.178007130010776,0.18782726863055038,100,2000
1.0,0.4,0.19600878547232042,0.19065462671718775,0.2013629442274531,100,2000
1.0,0.41,0.20584513400140797,0.20001316297722993,0.211677105025586,100,2000
1.0,0.42,0.22849724049691736,0.22198979484478332,0.2350046861490514,100,2000
1.0,0.43,0.24441825608753767,0.2372909758832971,0.2515455362917783,100,2000
1.0,0.44,0.2690806497530318,0.26162658647650705,0.27653471302955657,100,2000
1.0,0.45,0.28818506481019474,0.27941408302861936,0.2969560465917701,100,2000
1.0,0.46,0.3059996970694829,0.29639391058377856,0.3156054835551872,100,2000
1.0,0.47,0.3436040286614993,0.3339735634542922,0.3532344938687064,100,2000
1.0,0.48,0.38056466517581555,0.37086495469436254,0.39026437565726857,100,2000
1.0,0.49,0.4173731379376813,0.40821864412745773,0.4265276317479049,100,2000
